x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
1.8915,catalyst,139.5260,13.0254,90.6931,121.3789,2.8380,0.0000
1.8964,catalyst,139.5260,13.0254,90.3880,120.0232,2.5012,0.0000
1.9013,catalyst,139.5260,13.0254,90.0840,118.6827,2.2043,0.0000
1.9061,catalyst,139.5260,13.0254,89.7809,117.3571,1.9426,0.0000
1.9110,catalyst,139.5260,13.0254,89.4789,116.0463,1.7120,0.0000
1.9159,catalyst,139.5260,13.0254,89.1779,114.7502,1.5088,0.0000
1.9207,catalyst,139.5260,13.0254,88.8779,113.4685,1.3297,0.0000
1.9256,catalyst,139.5260,13.0254,88.5789,112.2011,1.1719,0.0000
1.9305,catalyst,139.5260,13.0254,88.2810,110.9480,1.0328,0.0000
1.9354,catalyst,139.5260,13.0254,87.9840,109.7088,0.9102,0.0000
1.9403,catalyst,139.5260,13.0254,87.6880,108.4834,0.8021,0.0000
1.9451,catalyst,139.5260,13.0254,87.3930,107.2717,0.7069,0.0000
1.9500,outlet,139.5260,13.0254,87.0991,106.0736,0.6230,0.0000
