x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.3997,wesp,96.9442,40.0000,77.6746,300.0000,20.0000,0.0000
0.4046,wesp,95.6602,40.0000,77.5982,300.0000,20.0000,0.0000
0.4095,wesp,94.3932,40.0000,77.5220,300.0000,20.0000,0.0000
0.4144,wesp,93.1430,40.0000,77.4458,300.0000,20.0000,0.0000
0.4193,wesp,91.9094,40.0000,77.3697,300.0000,20.0000,0.0000
0.4241,wesp,90.6921,40.0000,77.2936,300.0000,20.0000,0.0000
0.4290,wesp,89.4909,40.0000,77.2177,300.0000,20.0000,0.0000
0.4339,wesp,88.3056,40.0000,77.1418,300.0000,20.0000,0.0000
0.4387,wesp,87.1360,40.0000,77.0660,300.0000,20.0000,0.0000
0.4436,wesp,85.9819,40.0000,76.9902,300.0000,20.0000,0.0000
0.4485,wesp,84.8431,40.0000,76.9146,300.0000,20.0000,0.0000
0.4534,wesp,83.7194,40.0000,76.8390,300.0000,20.0000,0.0000
0.4582,wesp,82.6106,40.0000,76.7635,300.0000,20.0000,0.0000
0.4631,wesp,81.5164,40.0000,76.6880,300.0000,20.0000,0.0000
0.4680,wesp,80.4368,40.0000,76.6126,300.0000,20.0000,0.0000
0.4729,wesp,79.3714,40.0000,76.5374,300.0000,20.0000,0.0000
0.4778,wesp,78.3201,40.0000,76.4621,300.0000,20.0000,0.0000
0.4826,wesp,77.2828,40.0000,76.3870,300.0000,20.0000,0.0000
0.4875,wesp,76.2592,40.0000,76.3119,300.0000,20.0000,0.0000
0.4924,wesp,75.2492,40.0000,76.2369,300.0000,20.0000,0.0000
0.4973,wesp,74.2525,40.0000,76.1620,300.0000,20.0000,0.0000
0.5021,wesp,73.2691,40.0000,76.0871,300.0000,20.0000,0.0000
0.5070,wesp,72.2987,40.0000,76.0124,300.0000,20.0000,0.0000
0.5119,wesp,71.3411,40.0000,75.9377,300.0000,20.0000,0.0000
0.5168,wesp,70.3962,40.0000,75.8630,300.0000,20.0000,0.0000
0.5216,wesp,69.4638,40.0000,75.7885,300.0000,20.0000,0.0000
0.5265,wesp,68.5438,40.0000,75.7140,300.0000,20.0000,0.0000
0.5314,wesp,67.6360,40.0000,75.6396,300.0000,20.0000,0.0000
0.5363,wesp,66.7401,40.0000,75.5652,300.0000,20.0000,0.0000
0.5411,wesp,65.8562,40.0000,75.4910,300.0000,20.0000,0.0000
0.5460,wesp,64.9839,40.0000,75.4168,300.0000,20.0000,0.0000
0.5509,wesp,64.1233,40.0000,75.3426,300.0000,20.0000,0.0000
0.5557,wesp,63.2740,40.0000,75.2686,300.0000,20.0000,0.0000
0.5606,wesp,62.4359,40.0000,75.1946,300.0000,20.0000,0.0000
0.5655,wesp,61.6090,40.0000,75.1207,300.0000,20.0000,0.0000
0.5704,wesp,60.7930,40.0000,75.0469,300.0000,20.0000,0.0000
0.5753,wesp,59.9878,40.0000,74.9731,300.0000,20.0000,0.0000
0.5801,wesp,59.1933,40.0000,74.8995,300.0000,20.0000,0.0000
0.5850,wesp,58.4093,40.0000,74.8258,300.0000,20.0000,0.0000
0.5899,wesp,57.6357,40.0000,74.7523,300.0000,20.0000,0.0000
0.5948,wesp,56.8723,40.0000,74.6788,300.0000,20.0000,0.0000
0.5996,wesp,56.1190,40.0000,74.6054,300.0000,20.0000,0.0000
0.6045,wesp,55.3758,40.0000,74.5321,300.0000,20.0000,0.0000
0.6094,wesp,54.6423,40.0000,74.4589,300.0000,20.0000,0.0000
0.6142,wesp,53.9186,40.0000,74.3857,300.0000,20.0000,0.0000
0.6191,wesp,53.2045,40.0000,74.3126,300.0000,20.0000,0.0000
0.6240,wesp,52.4998,40.0000,74.2396,300.0000,20.0000,0.0000
