x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.5899,wesp,59.4023,40.0000,74.7523,300.0000,20.0000,0.0000
0.5948,wesp,58.6412,40.0000,74.6788,300.0000,20.0000,0.0000
0.5996,wesp,57.8898,40.0000,74.6054,300.0000,20.0000,0.0000
0.6045,wesp,57.1481,40.0000,74.5321,300.0000,20.0000,0.0000
0.6094,wesp,56.4159,40.0000,74.4589,300.0000,20.0000,0.0000
0.6142,wesp,55.6930,40.0000,74.3857,300.0000,20.0000,0.0000
0.6191,wesp,54.9794,40.0000,74.3126,300.0000,20.0000,0.0000
0.6240,wesp,54.2750,40.0000,74.2396,300.0000,20.0000,0.0000
0.6289,wesp,53.5796,40.0000,74.1666,300.0000,20.0000,0.0000
0.6338,wesp,52.8931,40.0000,74.0937,300.0000,20.0000,0.0000
0.6386,wesp,52.2153,40.0000,74.0209,300.0000,20.0000,0.0000
0.6435,wesp,51.5463,40.0000,73.9481,300.0000,20.0000,0.0000
0.6484,wesp,50.8859,40.0000,73.8755,300.0000,20.0000,0.0000
0.6532,wesp,50.2339,40.0000,73.8029,300.0000,20.0000,0.0000
0.6581,wesp,49.5902,40.0000,73.7303,300.0000,20.0000,0.0000
0.6630,wesp,48.9548,40.0000,73.6579,300.0000,20.0000,0.0000
0.6679,wesp,48.3276,40.0000,73.5855,300.0000,20.0000,0.0000
0.6727,wesp,47.7084,40.0000,73.5131,300.0000,20.0000,0.0000
0.6776,wesp,47.0971,40.0000,73.4409,300.0000,20.0000,0.0000
0.6825,wesp,46.4937,40.0000,73.3687,300.0000,20.0000,0.0000
0.6874,wesp,45.8979,40.0000,73.2966,300.0000,20.0000,0.0000
0.6923,wesp,45.3099,40.0000,73.2246,300.0000,20.0000,0.0000
0.6971,wesp,44.7293,40.0000,73.1526,300.0000,20.0000,0.0000
0.7020,wesp,44.1562,40.0000,73.0807,300.0000,20.0000,0.0000
0.7069,wesp,43.5904,40.0000,73.0089,300.0000,20.0000,0.0000
0.7117,wesp,43.0319,40.0000,72.9371,300.0000,20.0000,0.0000
0.7166,wesp,42.4806,40.0000,72.8655,300.0000,20.0000,0.0000
0.7215,wesp,41.9363,40.0000,72.7938,300.0000,20.0000,0.0000
0.7264,wesp,41.3989,40.0000,72.7223,300.0000,20.0000,0.0000
0.7312,wesp,40.8685,40.0000,72.6508,300.0000,20.0000,0.0000
0.7361,wesp,40.3449,40.0000,72.5794,300.0000,20.0000,0.0000
0.7410,wesp,39.8279,40.0000,72.5081,300.0000,20.0000,0.0000
0.7459,wesp,39.3176,40.0000,72.4368,300.0000,20.0000,0.0000
0.7508,wesp,38.8138,40.0000,72.3657,300.0000,20.0000,0.0000
0.7556,wesp,38.3165,40.0000,72.2945,300.0000,20.0000,0.0000
0.7605,wesp,37.8256,40.0000,72.2235,300.0000,20.0000,0.0000
0.7654,wesp,37.3409,40.0000,72.1525,300.0000,20.0000,0.0000
0.7702,wesp,36.8625,40.0000,72.0816,300.0000,20.0000,0.0000
0.7751,wesp,36.3902,40.0000,72.0107,300.0000,20.0000,0.0000
0.7800,wesp,35.9239,40.0000,71.9400,300.0000,20.0000,0.0000
